timestamp,x,y,z,X2,Y2,Z2
"2022-03-29 09:41:07",0,0,0,0,0,0
"2022-03-29 09:41:08",-158,196,-16,134,-214,-23
"2022-03-29 09:41:09",-157,196,-15,135,-215,-24
"2022-03-29 09:41:09",-157,197,-15,135,-214,-23
"2022-03-29 09:41:09",-156,196,-16,135,-214,-24
"2022-03-29 09:41:09",-157,197,-13,133,-215,-24
"2022-03-29 09:41:09",-156,197,-17,135,-214,-24
"2022-03-29 09:41:09",-156,196,-15,135,-214,-24
"2022-03-29 09:41:09",-155,196,-15,134,-214,-24
"2022-03-29 09:41:11",-156,196,-17,134,-214,-24
"2022-03-29 09:41:11",-157,197,-15,135,-214,-23
"2022-03-29 09:41:11",-157,197,-16,134,-214,-23
"2022-03-29 09:41:11",-157,196,-16,134,-214,-24
"2022-03-29 09:41:11",-156,195,-16,133,-214,-24
"2022-03-29 09:41:11",-156,196,-16,134,-214,-24
"2022-03-29 09:41:11",-156,197,-16,133,-214,-23
"2022-03-29 09:41:14",-157,196,-16,135,-215,-24
"2022-03-29 09:41:14",-156,195,-17,134,-214,-22
"2022-03-29 09:41:14",-157,196,-15,134,-215,-24
"2022-03-29 09:41:15",-157,196,-16,134,-215,-24
"2022-03-29 09:41:15",-155,197,-16,134,-214,-25
"2022-03-29 09:41:15",-156,196,-16,135,-215,-24
"2022-03-29 09:41:15",-157,197,-17,134,-214,-24
"2022-03-29 09:41:15",-157,197,-15,134,-214,-24
"2022-03-29 09:41:15",-156,197,-15,134,-215,-23
"2022-03-29 09:41:15",-157,196,-18,135,-216,-23
"2022-03-29 09:41:15",-154,196,-17,135,-214,-23
"2022-03-29 09:41:15",-156,197,-16,134,-215,-24
"2022-03-29 09:41:15",-156,198,-17,134,-215,-24
"2022-03-29 09:41:16",-156,197,-19,135,-214,-24
"2022-03-29 09:41:16",-156,196,-15,133,-213,-24
"2022-03-29 09:41:16",-155,196,-17,134,-214,-24
"2022-03-29 09:41:17",-156,197,-17,135,-214,-24
"2022-03-29 09:41:17",-157,197,-17,135,-214,-24
"2022-03-29 09:41:17",-157,195,-15,134,-214,-24
"2022-03-29 09:41:17",-157,197,-17,136,-215,-23
"2022-03-29 09:41:17",-156,196,-14,134,-215,-24
"2022-03-29 09:41:20",-156,196,-15,134,-214,-24
"2022-03-29 09:41:20",-157,197,-16,134,-214,-24
"2022-03-29 09:41:20",-158,197,-15,134,-215,-22
"2022-03-29 09:41:20",-156,198,-17,134,-215,-23
"2022-03-29 09:41:20",-156,197,-15,134,-215,-24
"2022-03-29 09:41:20",-156,197,-17,134,-214,-23
"2022-03-29 09:41:21",-157,197,-16,134,-214,-24
"2022-03-29 09:41:21",-156,197,-17,134,-214,-24
"2022-03-29 09:41:21",-155,195,-15,135,-214,-24
"2022-03-29 09:41:21",-157,196,-16,134,-215,-23
"2022-03-29 09:41:21",-155,196,-16,134,-214,-23
"2022-03-29 09:41:21",-156,196,-16,134,-214,-23
"2022-03-29 09:41:21",-156,197,-16,134,-215,-23
"2022-03-29 09:41:21",-156,196,-16,134,-214,-23
"2022-03-29 09:41:21",-156,197,-16,134,-213,-23
"2022-03-29 09:41:21",-156,197,-15,134,-214,-22
"2022-03-29 09:41:22",-157,197,-17,135,-215,-24
"2022-03-29 09:41:22",-155,197,-14,134,-215,-23
"2022-03-29 09:41:22",-155,196,-16,134,-215,-23
"2022-03-29 09:41:22",-157,197,-16,134,-215,-24
"2022-03-29 09:41:22",-156,196,-17,135,-215,-23
"2022-03-29 09:41:22",-157,196,-16,134,-214,-23
"2022-03-29 09:41:22",-157,197,-16,134,-215,-25
"2022-03-29 09:41:22",-155,197,-15,134,-214,-24
"2022-03-29 09:41:22",-157,197,-16,133,-214,-23
"2022-03-29 09:41:24",-155,197,-17,133,-215,-23
"2022-03-29 09:41:24",-156,196,-16,133,-214,-23
"2022-03-29 09:41:24",-157,196,-16,133,-214,-22
"2022-03-29 09:41:24",-156,196,-17,135,-214,-23
"2022-03-29 09:41:24",-156,197,-16,134,-214,-23
"2022-03-29 09:41:24",-155,195,-17,134,-215,-24
