timestamp,x,y,z,X2,Y2,Z2
"2022-03-01 14:01:11",121,45,-73,,,
"2022-03-01 14:01:13",319,-225,-193,,,
"2022-03-01 14:01:13",27,252,-86,,,
"2022-03-01 14:01:14",-194,35,-13,,,
"2022-03-01 14:01:14",-40,351,90,,,
"2022-03-01 14:01:16",20,-147,191,,,
"2022-03-01 14:01:16",-26,-38,127,,,
"2022-03-01 14:01:17",511,4,-512,,,
"2022-03-01 14:01:17",-95,-365,-165,,,
"2022-03-01 14:01:18",347,-512,-229,,,
"2022-03-01 14:01:18",354,167,80,,,
"2022-03-01 14:01:19",71,511,-467,,,
"2022-03-01 14:01:19",-512,-512,-197,,,
"2022-03-01 14:01:20",164,-459,-512,,,
"2022-03-01 14:01:20",31,85,204,,,
"2022-03-01 14:01:21",-50,-512,-426,,,
"2022-03-01 14:01:21",295,35,201,,,
"2022-03-01 14:01:22",-198,-4,-480,,,
"2022-03-01 14:01:22",-25,59,187,,,
"2022-03-01 14:01:23",-113,-494,-185,,,
"2022-03-01 14:01:23",511,-368,88,,,
"2022-03-01 14:01:24",-26,-49,16,,,
"2022-03-01 14:01:24",-18,-33,238,,,
"2022-03-01 14:01:25",-81,-241,39,,,
"2022-03-01 14:01:25",-89,260,30,,,
"2022-03-02 14:19:45",-235,51,-122,-213,29,-91
"2022-03-02 14:19:47",-237,53,-123,-213,29,-90
"2022-03-02 14:19:48",-237,54,-122,-213,29,-90
"2022-03-02 14:19:49",-238,54,-123,-213,29,-92
"2022-03-02 14:19:50",-245,50,-123,-226,50,-132
"2022-03-02 14:19:51",-21,3,-205,-225,42,-54
"2022-03-02 14:19:52",-419,108,-84,-255,107,-48
"2022-03-02 14:19:53",-86,250,17,-195,-26,84
"2022-03-02 14:19:54",-196,459,4,-292,-91,18
"2022-03-02 14:19:55",-323,44,-157,-232,105,38
"2022-03-02 14:19:56",424,94,166,-347,399,268
"2022-03-02 14:19:57",-75,123,86,-129,199,81
"2022-03-02 14:19:58",267,354,95,-512,-25,145
"2022-03-02 14:19:59",185,345,113,-36,-223,200
"2022-03-02 14:23:41",-205,113,-137,-200,4,-112
"2022-03-02 14:23:42",-201,112,-137,-200,5,-112
"2022-03-02 14:23:43",-104,112,-196,-234,-2,-50
"2022-03-02 14:23:44",37,511,-191,-112,38,-212
"2022-03-02 14:23:45",-21,202,103,-358,-160,-255
"2022-03-02 14:23:46",183,361,-203,-144,210,-346
"2022-03-02 14:23:47",-103,309,-65,-152,-233,-64
"2022-03-02 14:23:48",-146,253,7,-60,105,157
"2022-03-02 14:23:49",-138,332,-2,151,-188,-62
"2022-03-02 14:23:50",-82,254,19,75,-203,92
"2022-03-02 14:23:52",-128,293,94,118,-228,158
"2022-03-02 14:23:53",-66,255,144,43,-210,183
"2022-03-02 14:23:54",-62,247,142,39,-203,182
"2022-03-02 14:23:55",-69,257,138,46,-209,181
"2022-03-02 14:23:56",-61,248,142,37,-203,185
"2022-03-02 14:23:57",-68,249,142,43,-204,182
"2022-03-02 14:23:58",-65,245,145,38,-199,184
"2022-03-02 14:23:59",-67,244,145,40,-202,183
"2022-03-02 14:24:00",-98,457,101,39,-171,173
"2022-03-02 14:24:01",-290,511,-42,-93,-24,-56
"2022-03-02 14:24:02",-198,120,-140,125,149,-391
"2022-03-02 14:24:04",-200,119,-139,33,63,-237
"2022-03-02 14:24:05",-201,117,-141,248,220,-152
"2022-03-02 14:24:06",-201,118,-140,-324,-130,-406
"2022-03-02 14:24:07",-204,117,-141,0,90,-333
"2022-03-02 14:24:08",-202,116,-139,75,141,-166
