TIME,X2,Y2,Z2
"('2022-03-28 14:27:57',)","('58',)","('54',)","('-233',)"
"('2022-03-28 14:27:57',)","('56',)","('54',)","('-235',)"
"('2022-03-28 14:27:57',)","('57',)","('54',)","('-237',)"
"('2022-03-28 14:27:57',)","('56',)","('54',)","('-237',)"
"('2022-03-28 14:27:57',)","('57',)","('53',)","('-237',)"
"('2022-03-28 14:27:57',)","('57',)","('52',)","('-235',)"
"('2022-03-28 14:27:57',)","('58',)","('52',)","('-234',)"
"('2022-03-28 14:27:56',)","('56',)","('54',)","('-236',)"
"('2022-03-28 14:27:55',)","('56',)","('53',)","('-233',)"
"('2022-03-28 14:27:55',)","('56',)","('53',)","('-233',)"
"('2022-03-28 14:27:55',)","('57',)","('53',)","('-234',)"
"('2022-03-28 14:27:54',)","('57',)","('53',)","('-236',)"
TIME,X2,Y2,Z2
"('2022-03-29 10:01:57',)","(135,)","(-215,)","(-24,)"
"('2022-03-29 10:01:57',)","(136,)","(-216,)","(-24,)"
"('2022-03-29 10:01:57',)","(136,)","(-214,)","(-25,)"
"('2022-03-29 10:01:56',)","(135,)","(-214,)","(-25,)"
"('2022-03-29 10:01:56',)","(135,)","(-215,)","(-25,)"
"('2022-03-29 10:01:56',)","(136,)","(-215,)","(-24,)"
"('2022-03-29 10:01:56',)","(134,)","(-215,)","(-25,)"
"('2022-03-29 10:01:56',)","(134,)","(-215,)","(-25,)"
"('2022-03-29 10:01:53',)","(134,)","(-213,)","(-25,)"
"('2022-03-29 10:01:53',)","(133,)","(-213,)","(-25,)"
"('2022-03-29 10:01:53',)","(135,)","(-215,)","(-23,)"
"('2022-03-29 10:01:53',)","(135,)","(-214,)","(-23,)"
"('2022-03-29 10:01:51',)","(134,)","(-213,)","(-25,)"
"('2022-03-29 10:01:51',)","(134,)","(-214,)","(-24,)"
"('2022-03-29 10:01:50',)","(134,)","(-215,)","(-24,)"
"('2022-03-29 10:01:49',)","(135,)","(-215,)","(-24,)"
"('2022-03-29 10:01:49',)","(135,)","(-214,)","(-25,)"
"('2022-03-29 10:01:49',)","(134,)","(-215,)","(-24,)"
"('2022-03-29 10:01:49',)","(134,)","(-214,)","(-25,)"
"('2022-03-29 10:01:49',)","(135,)","(-215,)","(-23,)"
"('2022-03-29 10:01:49',)","(135,)","(-215,)","(-23,)"
"('2022-03-29 10:01:49',)","(134,)","(-214,)","(-24,)"
"('2022-03-29 10:01:49',)","(135,)","(-215,)","(-24,)"
"('2022-03-29 10:01:49',)","(135,)","(-215,)","(-23,)"
"('2022-03-29 10:01:47',)","(134,)","(-213,)","(-23,)"
"('2022-03-29 10:01:47',)","(135,)","(-215,)","(-23,)"
"('2022-03-29 10:01:45',)","(135,)","(-215,)","(-25,)"
"('2022-03-29 10:01:45',)","(135,)","(-216,)","(-24,)"
"('2022-03-29 10:01:45',)","(134,)","(-214,)","(-24,)"
"('2022-03-29 10:01:45',)","(135,)","(-215,)","(-25,)"
"('2022-03-29 10:01:45',)","(135,)","(-214,)","(-25,)"
"('2022-03-29 10:01:45',)","(135,)","(-215,)","(-25,)"
"('2022-03-29 10:01:45',)","(135,)","(-215,)","(-24,)"
"('2022-03-29 10:01:45',)","(135,)","(-214,)","(-24,)"
"('2022-03-29 10:01:44',)","(135,)","(-214,)","(-23,)"
"('2022-03-29 10:01:41',)","(135,)","(-215,)","(-25,)"
TIME,X2,Y2,Z2
"('2022-03-29 14:08:49',)","(-49,)","(20,)","(-193,)"
"('2022-03-29 14:08:49',)","(-46,)","(17,)","(-200,)"
"('2022-03-29 14:08:49',)","(-51,)","(20,)","(-213,)"
"('2022-03-29 14:08:49',)","(-49,)","(21,)","(-193,)"
"('2022-03-29 14:08:49',)","(-52,)","(22,)","(-200,)"
"('2022-03-29 14:08:46',)","(-49,)","(22,)","(-201,)"
"('2022-03-29 14:08:46',)","(-52,)","(21,)","(-200,)"
"('2022-03-29 14:08:45',)","(-50,)","(20,)","(-200,)"
"('2022-03-29 14:08:45',)","(-50,)","(21,)","(-200,)"
"('2022-03-29 14:08:45',)","(-50,)","(22,)","(-200,)"
"('2022-03-29 14:08:45',)","(-50,)","(21,)","(-201,)"
"('2022-03-29 14:08:44',)","(-50,)","(21,)","(-201,)"
"('2022-03-29 14:08:43',)","(-50,)","(21,)","(-201,)"
"('2022-03-29 14:08:43',)","(-49,)","(21,)","(-201,)"
"('2022-03-29 14:08:43',)","(-51,)","(23,)","(-201,)"
"('2022-03-29 14:08:43',)","(-50,)","(21,)","(-200,)"
"('2022-03-29 14:08:42',)","(-51,)","(21,)","(-201,)"
"('2022-03-29 14:08:41',)","(-50,)","(21,)","(-201,)"
"('2022-03-29 14:08:41',)","(-50,)","(21,)","(-200,)"
"('2022-03-29 14:08:40',)","(-50,)","(22,)","(-199,)"
"('2022-03-29 14:08:40',)","(-49,)","(21,)","(-202,)"
"('2022-03-29 14:08:40',)","(-50,)","(23,)","(-200,)"
"('2022-03-29 14:08:40',)","(-51,)","(22,)","(-201,)"
"('2022-03-29 14:08:39',)","(-50,)","(23,)","(-200,)"
"('2022-03-29 14:08:39',)","(-50,)","(22,)","(-201,)"
"('2022-03-29 14:08:38',)","(-51,)","(22,)","(-202,)"
"('2022-03-29 14:08:38',)","(-51,)","(22,)","(-200,)"
"('2022-03-29 14:08:38',)","(-50,)","(22,)","(-199,)"
"('2022-03-29 14:08:37',)","(-50,)","(22,)","(-201,)"
"('2022-03-29 14:08:37',)","(-51,)","(23,)","(-201,)"
"('2022-03-29 14:08:37',)","(-50,)","(23,)","(-200,)"
"('2022-03-29 14:08:37',)","(-50,)","(22,)","(-202,)"
"('2022-03-29 14:08:37',)","(-50,)","(24,)","(-200,)"
"('2022-03-29 14:08:37',)","(-49,)","(21,)","(-200,)"
"('2022-03-29 14:08:37',)","(-51,)","(21,)","(-200,)"
"('2022-03-29 14:08:37',)","(-51,)","(23,)","(-201,)"
"('2022-03-29 14:08:37',)","(-51,)","(23,)","(-201,)"
"('2022-03-29 14:08:35',)","(-50,)","(21,)","(-202,)"
"('2022-03-29 14:08:35',)","(-50,)","(21,)","(-201,)"
"('2022-03-29 14:08:35',)","(-50,)","(22,)","(-201,)"
"('2022-03-29 14:08:33',)","(-50,)","(22,)","(-200,)"
"('2022-03-29 14:08:33',)","(-50,)","(19,)","(-200,)"
"('2022-03-29 14:08:33',)","(-50,)","(21,)","(-202,)"
"('2022-03-29 14:08:33',)","(-50,)","(22,)","(-201,)"
"('2022-03-29 14:08:33',)","(-50,)","(21,)","(-201,)"
"('2022-03-29 14:08:33',)","(-50,)","(22,)","(-201,)"
"('2022-03-29 14:08:33',)","(-49,)","(21,)","(-201,)"
"('2022-03-29 14:08:33',)","(-51,)","(22,)","(-200,)"
"('2022-03-29 14:08:31',)","(-51,)","(21,)","(-200,)"
"('2022-03-29 14:08:31',)","(-49,)","(22,)","(-201,)"
"('2022-03-29 14:08:29',)","(-50,)","(20,)","(-201,)"
"('2022-03-29 14:08:29',)","(-51,)","(21,)","(-200,)"
"('2022-03-29 14:08:27',)","(-50,)","(20,)","(-201,)"
"('2022-03-29 14:08:27',)","(-51,)","(21,)","(-201,)"
"('2022-03-29 14:08:25',)","(0,)","(0,)","(0,)"
"('2022-03-29 10:01:57',)","(135,)","(-215,)","(-24,)"
"('2022-03-29 10:01:57',)","(136,)","(-216,)","(-24,)"
"('2022-03-29 10:01:57',)","(136,)","(-214,)","(-25,)"
"('2022-03-29 10:01:56',)","(135,)","(-214,)","(-25,)"
"('2022-03-29 10:01:56',)","(135,)","(-215,)","(-25,)"
"('2022-03-29 10:01:56',)","(136,)","(-215,)","(-24,)"
"('2022-03-29 10:01:56',)","(134,)","(-215,)","(-25,)"
"('2022-03-29 10:01:56',)","(134,)","(-215,)","(-25,)"
"('2022-03-29 10:01:53',)","(134,)","(-213,)","(-25,)"
"('2022-03-29 10:01:53',)","(133,)","(-213,)","(-25,)"
"('2022-03-29 10:01:53',)","(135,)","(-215,)","(-23,)"
"('2022-03-29 10:01:53',)","(135,)","(-214,)","(-23,)"
"('2022-03-29 10:01:51',)","(134,)","(-213,)","(-25,)"
"('2022-03-29 10:01:51',)","(134,)","(-214,)","(-24,)"
"('2022-03-29 10:01:50',)","(134,)","(-215,)","(-24,)"
"('2022-03-29 10:01:49',)","(135,)","(-215,)","(-24,)"
"('2022-03-29 10:01:49',)","(135,)","(-214,)","(-25,)"
"('2022-03-29 10:01:49',)","(134,)","(-215,)","(-24,)"
"('2022-03-29 10:01:49',)","(134,)","(-214,)","(-25,)"
"('2022-03-29 10:01:49',)","(135,)","(-215,)","(-23,)"
"('2022-03-29 10:01:49',)","(135,)","(-215,)","(-23,)"
"('2022-03-29 10:01:49',)","(134,)","(-214,)","(-24,)"
"('2022-03-29 10:01:49',)","(135,)","(-215,)","(-24,)"
"('2022-03-29 10:01:49',)","(135,)","(-215,)","(-23,)"
"('2022-03-29 10:01:47',)","(134,)","(-213,)","(-23,)"
"('2022-03-29 10:01:47',)","(135,)","(-215,)","(-23,)"
"('2022-03-29 10:01:45',)","(135,)","(-215,)","(-25,)"
"('2022-03-29 10:01:45',)","(135,)","(-216,)","(-24,)"
"('2022-03-29 10:01:45',)","(134,)","(-214,)","(-24,)"
"('2022-03-29 10:01:45',)","(135,)","(-215,)","(-25,)"
"('2022-03-29 10:01:45',)","(135,)","(-214,)","(-25,)"
"('2022-03-29 10:01:45',)","(135,)","(-215,)","(-25,)"
"('2022-03-29 10:01:45',)","(135,)","(-215,)","(-24,)"
"('2022-03-29 10:01:45',)","(135,)","(-214,)","(-24,)"
"('2022-03-29 10:01:44',)","(135,)","(-214,)","(-23,)"
"('2022-03-29 10:01:41',)","(135,)","(-215,)","(-25,)"
