TIME,X,Y,Z
"('2022-03-28 14:13:14',)","(-50,)","(26,)","(-200,)"
"('2022-03-28 14:13:14',)","(-50,)","(25,)","(-200,)"
"('2022-03-28 14:13:14',)","(-50,)","(26,)","(-200,)"
"('2022-03-28 14:13:14',)","(-50,)","(26,)","(-201,)"
"('2022-03-28 14:13:14',)","(-49,)","(25,)","(-202,)"
"('2022-03-28 14:13:12',)","(-49,)","(26,)","(-200,)"
"('2022-03-28 14:13:12',)","(-49,)","(26,)","(-202,)"
"('2022-03-28 14:13:12',)","(-49,)","(27,)","(-202,)"
"('2022-03-28 14:13:12',)","(-49,)","(27,)","(-202,)"
"('2022-03-28 14:13:12',)","(-50,)","(26,)","(-201,)"
"('2022-03-28 14:13:12',)","(-49,)","(26,)","(-201,)"
"('2022-03-28 14:13:12',)","(-50,)","(26,)","(-200,)"
"('2022-03-28 14:13:12',)","(-49,)","(26,)","(-201,)"
"('2022-03-28 14:13:09',)","(-50,)","(26,)","(-202,)"
"('2022-03-28 14:13:09',)","(-50,)","(26,)","(-202,)"
"('2022-03-28 14:13:09',)","(-50,)","(25,)","(-201,)"
"('2022-03-28 14:13:09',)","(-51,)","(26,)","(-201,)"
"('2022-03-28 14:13:09',)","(-55,)","(26,)","(-199,)"
"('2022-03-28 14:13:09',)","(-53,)","(27,)","(-199,)"
"('2022-03-28 14:13:09',)","(-53,)","(26,)","(-201,)"
"('2022-03-28 14:13:09',)","(-49,)","(26,)","(-201,)"
"('2022-03-28 14:13:09',)","(-50,)","(25,)","(-200,)"
"('2022-03-28 14:13:08',)","(-49,)","(26,)","(-201,)"
"('2022-03-28 14:13:08',)","(-49,)","(26,)","(-200,)"
"('2022-03-28 14:13:08',)","(-50,)","(26,)","(-199,)"
"('2022-03-28 14:13:08',)","(-50,)","(25,)","(-201,)"
"('2022-03-28 14:13:07',)","(-50,)","(26,)","(-202,)"
"('2022-03-28 14:13:06',)","(-50,)","(27,)","(-202,)"
"('2022-03-28 14:13:06',)","(-49,)","(25,)","(-200,)"
"('2022-03-28 14:13:06',)","(-51,)","(25,)","(-202,)"
"('2022-03-28 14:13:06',)","(-50,)","(25,)","(-201,)"
"('2022-03-28 14:13:06',)","(-50,)","(26,)","(-200,)"
"('2022-03-28 14:13:06',)","(-50,)","(25,)","(-199,)"
"('2022-03-28 14:13:05',)","(-50,)","(27,)","(-200,)"
"('2022-03-28 14:13:05',)","(-50,)","(25,)","(-202,)"
"('2022-03-28 14:13:05',)","(-51,)","(25,)","(-200,)"
"('2022-03-28 14:13:04',)","(-51,)","(27,)","(-201,)"
"('2022-03-28 14:13:04',)","(-51,)","(27,)","(-201,)"
"('2022-03-28 14:13:03',)","(-51,)","(25,)","(-200,)"
"('2022-03-28 14:13:03',)","(-52,)","(25,)","(-200,)"
"('2022-03-28 14:13:03',)","(-52,)","(26,)","(-200,)"
"('2022-03-28 14:13:03',)","(-50,)","(25,)","(-202,)"
"('2022-03-28 14:13:03',)","(-52,)","(26,)","(-200,)"
"('2022-03-28 14:13:02',)","(-51,)","(26,)","(-201,)"
"('2022-03-28 14:13:02',)","(-52,)","(27,)","(-203,)"
"('2022-03-28 14:13:02',)","(-51,)","(25,)","(-201,)"
"('2022-03-28 14:13:01',)","(-50,)","(26,)","(-201,)"
"('2022-03-28 14:13:01',)","(-50,)","(26,)","(-201,)"
"('2022-03-28 14:13:01',)","(-50,)","(27,)","(-201,)"
"('2022-03-28 14:13:01',)","(-51,)","(26,)","(-201,)"
"('2022-03-28 14:13:01',)","(-51,)","(25,)","(-203,)"
"('2022-03-28 14:12:59',)","(-50,)","(25,)","(-201,)"
"('2022-03-28 14:12:59',)","(-49,)","(26,)","(-202,)"
"('2022-03-28 14:12:59',)","(-50,)","(26,)","(-201,)"
"('2022-03-28 14:12:59',)","(-49,)","(25,)","(-201,)"
"('2022-03-28 14:12:59',)","(-49,)","(26,)","(-201,)"
"('2022-03-28 14:12:57',)","(-50,)","(27,)","(-201,)"
"('2022-03-28 14:12:56',)","(-50,)","(26,)","(-201,)"
"('2022-03-28 14:12:55',)","(-49,)","(24,)","(-202,)"
"('2022-03-28 14:12:55',)","(-50,)","(25,)","(-202,)"
"('2022-03-28 14:12:55',)","(-50,)","(25,)","(-201,)"
TIME,X,Y,Z
"('2022-03-28 14:13:31',)","(-51,)","(28,)","(-200,)"
"('2022-03-28 14:13:31',)","(-50,)","(26,)","(-198,)"
"('2022-03-28 14:13:30',)","(-49,)","(27,)","(-199,)"
"('2022-03-28 14:13:30',)","(-49,)","(27,)","(-201,)"
"('2022-03-28 14:13:30',)","(-50,)","(27,)","(-201,)"
"('2022-03-28 14:13:30',)","(-50,)","(30,)","(-201,)"
"('2022-03-28 14:13:29',)","(-50,)","(28,)","(-201,)"
"('2022-03-28 14:13:29',)","(-50,)","(26,)","(-201,)"
"('2022-03-28 14:13:29',)","(-49,)","(27,)","(-200,)"
"('2022-03-28 14:13:29',)","(-49,)","(28,)","(-200,)"
"('2022-03-28 14:13:28',)","(-49,)","(27,)","(-200,)"
"('2022-03-28 14:13:28',)","(-49,)","(26,)","(-200,)"
"('2022-03-28 14:13:27',)","(-50,)","(27,)","(-201,)"
"('2022-03-28 14:13:27',)","(-49,)","(28,)","(-199,)"
"('2022-03-28 14:13:27',)","(-51,)","(28,)","(-200,)"
"('2022-03-28 14:13:27',)","(-50,)","(28,)","(-200,)"
"('2022-03-28 14:13:27',)","(-49,)","(28,)","(-200,)"
"('2022-03-28 14:13:27',)","(-49,)","(27,)","(-199,)"
"('2022-03-28 14:13:25',)","(-50,)","(27,)","(-200,)"
"('2022-03-28 14:13:25',)","(-50,)","(28,)","(-201,)"
"('2022-03-28 14:13:25',)","(-49,)","(27,)","(-200,)"
"('2022-03-28 14:13:25',)","(-50,)","(27,)","(-200,)"
"('2022-03-28 14:13:25',)","(-50,)","(26,)","(-201,)"
"('2022-03-28 14:13:25',)","(-50,)","(27,)","(-201,)"
"('2022-03-28 14:13:25',)","(-50,)","(27,)","(-200,)"
"('2022-03-28 14:13:25',)","(-50,)","(28,)","(-200,)"
"('2022-03-28 14:13:25',)","(-49,)","(28,)","(-200,)"
"('2022-03-28 14:13:25',)","(-50,)","(28,)","(-200,)"
"('2022-03-28 14:13:24',)","(-51,)","(28,)","(-200,)"
"('2022-03-28 14:13:24',)","(-50,)","(27,)","(-201,)"
"('2022-03-28 14:13:24',)","(-50,)","(26,)","(-200,)"
"('2022-03-28 14:13:24',)","(-49,)","(26,)","(-201,)"
"('2022-03-28 14:13:24',)","(-49,)","(27,)","(-200,)"
"('2022-03-28 14:13:24',)","(-50,)","(25,)","(-199,)"
"('2022-03-28 14:13:24',)","(-50,)","(27,)","(-200,)"
"('2022-03-28 14:13:24',)","(-51,)","(28,)","(-200,)"
"('2022-03-28 14:13:23',)","(-51,)","(26,)","(-201,)"
"('2022-03-28 14:13:23',)","(-51,)","(26,)","(-200,)"
"('2022-03-28 14:13:22',)","(-50,)","(26,)","(-200,)"
"('2022-03-28 14:13:22',)","(-50,)","(26,)","(-200,)"
"('2022-03-28 14:13:22',)","(-50,)","(26,)","(-201,)"
"('2022-03-28 14:13:22',)","(-50,)","(27,)","(-202,)"
"('2022-03-28 14:13:22',)","(-50,)","(28,)","(-201,)"
"('2022-03-28 14:13:22',)","(-50,)","(27,)","(-201,)"
"('2022-03-28 14:13:22',)","(-49,)","(27,)","(-201,)"
"('2022-03-28 14:13:22',)","(-50,)","(26,)","(-201,)"
"('2022-03-28 14:13:22',)","(-51,)","(27,)","(-201,)"
"('2022-03-28 14:13:22',)","(-49,)","(26,)","(-199,)"
"('2022-03-28 14:13:22',)","(-51,)","(27,)","(-200,)"
"('2022-03-28 14:13:22',)","(-50,)","(27,)","(-199,)"
"('2022-03-28 14:13:22',)","(-51,)","(26,)","(-200,)"
"('2022-03-28 14:13:22',)","(-50,)","(26,)","(-200,)"
"('2022-03-28 14:13:20',)","(-50,)","(28,)","(-199,)"
"('2022-03-28 14:13:20',)","(-49,)","(25,)","(-201,)"
"('2022-03-28 14:13:20',)","(-50,)","(28,)","(-201,)"
"('2022-03-28 14:13:20',)","(-50,)","(27,)","(-200,)"
"('2022-03-28 14:13:20',)","(-49,)","(26,)","(-202,)"
"('2022-03-28 14:13:20',)","(-49,)","(26,)","(-199,)"
"('2022-03-28 14:13:20',)","(-49,)","(26,)","(-200,)"
"('2022-03-28 14:13:18',)","(-49,)","(26,)","(-200,)"
"('2022-03-28 14:13:18',)","(-49,)","(26,)","(-201,)"
"('2022-03-28 14:13:18',)","(-49,)","(25,)","(-202,)"
"('2022-03-28 14:13:18',)","(-50,)","(26,)","(-200,)"
"('2022-03-28 14:13:18',)","(-50,)","(27,)","(-202,)"
"('2022-03-28 14:13:16',)","(-49,)","(26,)","(-201,)"
"('2022-03-28 14:13:16',)","(-49,)","(26,)","(-201,)"
"('2022-03-28 14:13:16',)","(-49,)","(26,)","(-203,)"
"('2022-03-28 14:13:16',)","(-49,)","(25,)","(-201,)"
"('2022-03-28 14:13:16',)","(-50,)","(27,)","(-200,)"
"('2022-03-28 14:13:16',)","(-50,)","(26,)","(-199,)"
"('2022-03-28 14:13:15',)","(-49,)","(24,)","(-201,)"
"('2022-03-28 14:13:15',)","(-49,)","(25,)","(-200,)"
"('2022-03-28 14:13:15',)","(-50,)","(25,)","(-200,)"
"('2022-03-28 14:13:14',)","(-49,)","(25,)","(-200,)"
"('2022-03-28 14:13:14',)","(-50,)","(26,)","(-200,)"
"('2022-03-28 14:13:14',)","(-50,)","(28,)","(-202,)"
"('2022-03-28 14:13:14',)","(-50,)","(25,)","(-201,)"
"('2022-03-28 14:13:14',)","(-50,)","(26,)","(-200,)"
"('2022-03-28 14:13:14',)","(-48,)","(26,)","(-200,)"
"('2022-03-28 14:13:14',)","(-50,)","(26,)","(-200,)"
"('2022-03-28 14:13:14',)","(-50,)","(25,)","(-200,)"
"('2022-03-28 14:13:14',)","(-50,)","(26,)","(-200,)"
"('2022-03-28 14:13:14',)","(-50,)","(26,)","(-201,)"
"('2022-03-28 14:13:14',)","(-49,)","(25,)","(-202,)"
"('2022-03-28 14:13:12',)","(-49,)","(26,)","(-200,)"
"('2022-03-28 14:13:12',)","(-49,)","(26,)","(-202,)"
"('2022-03-28 14:13:12',)","(-49,)","(27,)","(-202,)"
"('2022-03-28 14:13:12',)","(-49,)","(27,)","(-202,)"
"('2022-03-28 14:13:12',)","(-50,)","(26,)","(-201,)"
"('2022-03-28 14:13:12',)","(-49,)","(26,)","(-201,)"
"('2022-03-28 14:13:12',)","(-50,)","(26,)","(-200,)"
"('2022-03-28 14:13:12',)","(-49,)","(26,)","(-201,)"
"('2022-03-28 14:13:09',)","(-50,)","(26,)","(-202,)"
"('2022-03-28 14:13:09',)","(-50,)","(26,)","(-202,)"
"('2022-03-28 14:13:09',)","(-50,)","(25,)","(-201,)"
"('2022-03-28 14:13:09',)","(-51,)","(26,)","(-201,)"
"('2022-03-28 14:13:09',)","(-55,)","(26,)","(-199,)"
"('2022-03-28 14:13:09',)","(-53,)","(27,)","(-199,)"
"('2022-03-28 14:13:09',)","(-53,)","(26,)","(-201,)"
"('2022-03-28 14:13:09',)","(-49,)","(26,)","(-201,)"
"('2022-03-28 14:13:09',)","(-50,)","(25,)","(-200,)"
"('2022-03-28 14:13:08',)","(-49,)","(26,)","(-201,)"
"('2022-03-28 14:13:08',)","(-49,)","(26,)","(-200,)"
"('2022-03-28 14:13:08',)","(-50,)","(26,)","(-199,)"
"('2022-03-28 14:13:08',)","(-50,)","(25,)","(-201,)"
"('2022-03-28 14:13:07',)","(-50,)","(26,)","(-202,)"
"('2022-03-28 14:13:06',)","(-50,)","(27,)","(-202,)"
"('2022-03-28 14:13:06',)","(-49,)","(25,)","(-200,)"
"('2022-03-28 14:13:06',)","(-51,)","(25,)","(-202,)"
"('2022-03-28 14:13:06',)","(-50,)","(25,)","(-201,)"
"('2022-03-28 14:13:06',)","(-50,)","(26,)","(-200,)"
"('2022-03-28 14:13:06',)","(-50,)","(25,)","(-199,)"
"('2022-03-28 14:13:05',)","(-50,)","(27,)","(-200,)"
"('2022-03-28 14:13:05',)","(-50,)","(25,)","(-202,)"
"('2022-03-28 14:13:05',)","(-51,)","(25,)","(-200,)"
"('2022-03-28 14:13:04',)","(-51,)","(27,)","(-201,)"
"('2022-03-28 14:13:04',)","(-51,)","(27,)","(-201,)"
"('2022-03-28 14:13:03',)","(-51,)","(25,)","(-200,)"
"('2022-03-28 14:13:03',)","(-52,)","(25,)","(-200,)"
"('2022-03-28 14:13:03',)","(-52,)","(26,)","(-200,)"
"('2022-03-28 14:13:03',)","(-50,)","(25,)","(-202,)"
"('2022-03-28 14:13:03',)","(-52,)","(26,)","(-200,)"
"('2022-03-28 14:13:02',)","(-51,)","(26,)","(-201,)"
"('2022-03-28 14:13:02',)","(-52,)","(27,)","(-203,)"
"('2022-03-28 14:13:02',)","(-51,)","(25,)","(-201,)"
"('2022-03-28 14:13:01',)","(-50,)","(26,)","(-201,)"
"('2022-03-28 14:13:01',)","(-50,)","(26,)","(-201,)"
"('2022-03-28 14:13:01',)","(-50,)","(27,)","(-201,)"
"('2022-03-28 14:13:01',)","(-51,)","(26,)","(-201,)"
"('2022-03-28 14:13:01',)","(-51,)","(25,)","(-203,)"
"('2022-03-28 14:12:59',)","(-50,)","(25,)","(-201,)"
"('2022-03-28 14:12:59',)","(-49,)","(26,)","(-202,)"
"('2022-03-28 14:12:59',)","(-50,)","(26,)","(-201,)"
"('2022-03-28 14:12:59',)","(-49,)","(25,)","(-201,)"
"('2022-03-28 14:12:59',)","(-49,)","(26,)","(-201,)"
"('2022-03-28 14:12:57',)","(-50,)","(27,)","(-201,)"
"('2022-03-28 14:12:56',)","(-50,)","(26,)","(-201,)"
"('2022-03-28 14:12:55',)","(-49,)","(24,)","(-202,)"
"('2022-03-28 14:12:55',)","(-50,)","(25,)","(-202,)"
"('2022-03-28 14:12:55',)","(-50,)","(25,)","(-201,)"
TIME,X,Y,Z
"('2022-03-28 14:27:58',)","(-51,)","(23,)","(-201,)"
"('2022-03-28 14:27:58',)","(-51,)","(24,)","(-197,)"
"('2022-03-28 14:27:58',)","(-51,)","(23,)","(-199,)"
"('2022-03-28 14:27:57',)","(-49,)","(25,)","(-200,)"
"('2022-03-28 14:27:57',)","(-50,)","(25,)","(-201,)"
"('2022-03-28 14:27:57',)","(-51,)","(25,)","(-202,)"
"('2022-03-28 14:27:57',)","(-49,)","(25,)","(-202,)"
"('2022-03-28 14:27:57',)","(-51,)","(26,)","(-203,)"
"('2022-03-28 14:27:57',)","(-50,)","(25,)","(-202,)"
"('2022-03-28 14:27:57',)","(-49,)","(24,)","(-201,)"
"('2022-03-28 14:27:56',)","(-53,)","(25,)","(-204,)"
"('2022-03-28 14:27:55',)","(-48,)","(24,)","(-202,)"
"('2022-03-28 14:27:55',)","(-51,)","(26,)","(-200,)"
"('2022-03-28 14:27:55',)","(-46,)","(27,)","(-205,)"
"('2022-03-28 14:27:54',)","(-51,)","(27,)","(-204,)"
"('2022-03-28 14:27:54',)","(-50,)","(29,)","(-204,)"
"('2022-03-28 14:27:54',)","(-50,)","(28,)","(-202,)"
"('2022-03-28 14:27:54',)","(-51,)","(27,)","(-201,)"
"('2022-03-28 14:27:54',)","(-50,)","(27,)","(-200,)"
"('2022-03-28 14:27:54',)","(-51,)","(30,)","(-203,)"
"('2022-03-28 14:27:52',)","(-50,)","(27,)","(-200,)"
"('2022-03-28 14:27:52',)","(-49,)","(30,)","(-196,)"
"('2022-03-28 14:27:52',)","(-50,)","(25,)","(-197,)"
"('2022-03-28 14:27:52',)","(-50,)","(25,)","(-202,)"
"('2022-03-28 14:27:52',)","(-50,)","(27,)","(-200,)"
"('2022-03-28 14:27:52',)","(-49,)","(27,)","(-200,)"
"('2022-03-28 14:27:52',)","(-50,)","(26,)","(-201,)"
"('2022-03-28 14:27:52',)","(-51,)","(26,)","(-201,)"
"('2022-03-28 14:27:52',)","(-50,)","(26,)","(-202,)"
"('2022-03-28 14:27:51',)","(-50,)","(26,)","(-201,)"
"('2022-03-28 14:27:49',)","(-51,)","(25,)","(-201,)"
