TIME,X,Y,Z
"('2022-03-28 14:13:16',)","(-49,)","(26,)","(-200,)"
"('2022-03-28 14:13:16',)","(-50,)","(26,)","(-200,)"
"('2022-03-28 14:13:16',)","(-50,)","(26,)","(-201,)"
"('2022-03-28 14:13:15',)","(-49,)","(25,)","(-202,)"
"('2022-03-28 14:13:15',)","(-49,)","(26,)","(-200,)"
"('2022-03-28 14:13:15',)","(-50,)","(27,)","(-202,)"
"('2022-03-28 14:13:14',)","(-49,)","(26,)","(-201,)"
"('2022-03-28 14:13:14',)","(-50,)","(26,)","(-201,)"
"('2022-03-28 14:13:14',)","(-50,)","(26,)","(-203,)"
"('2022-03-28 14:13:14',)","(-50,)","(25,)","(-201,)"
"('2022-03-28 14:13:14',)","(-50,)","(27,)","(-200,)"
"('2022-03-28 14:13:14',)","(-48,)","(26,)","(-199,)"
"('2022-03-28 14:13:14',)","(-50,)","(24,)","(-201,)"
"('2022-03-28 14:13:14',)","(-50,)","(25,)","(-200,)"
"('2022-03-28 14:13:14',)","(-50,)","(25,)","(-200,)"
"('2022-03-28 14:13:14',)","(-50,)","(25,)","(-200,)"
"('2022-03-28 14:13:14',)","(-49,)","(26,)","(-200,)"
"('2022-03-28 14:13:12',)","(-49,)","(28,)","(-202,)"
"('2022-03-28 14:13:12',)","(-49,)","(25,)","(-201,)"
"('2022-03-28 14:13:12',)","(-49,)","(26,)","(-200,)"
"('2022-03-28 14:13:12',)","(-49,)","(26,)","(-200,)"
"('2022-03-28 14:13:12',)","(-50,)","(26,)","(-200,)"
"('2022-03-28 14:13:12',)","(-49,)","(25,)","(-200,)"
TIME,X,Y,Z
"('2022-03-29 10:01:57',)","(-156,)","(196,)","(-9,)"
"('2022-03-29 10:01:57',)","(-154,)","(195,)","(-9,)"
"('2022-03-29 10:01:57',)","(-156,)","(196,)","(-8,)"
"('2022-03-29 10:01:56',)","(-155,)","(196,)","(-10,)"
"('2022-03-29 10:01:56',)","(-155,)","(195,)","(-10,)"
"('2022-03-29 10:01:56',)","(-156,)","(197,)","(-9,)"
"('2022-03-29 10:01:56',)","(-155,)","(197,)","(-9,)"
"('2022-03-29 10:01:56',)","(-155,)","(195,)","(-8,)"
"('2022-03-29 10:01:53',)","(-155,)","(196,)","(-8,)"
"('2022-03-29 10:01:53',)","(-156,)","(197,)","(-10,)"
"('2022-03-29 10:01:53',)","(-155,)","(195,)","(-9,)"
"('2022-03-29 10:01:53',)","(-156,)","(196,)","(-10,)"
"('2022-03-29 10:01:51',)","(-155,)","(195,)","(-8,)"
"('2022-03-29 10:01:51',)","(-155,)","(196,)","(-10,)"
"('2022-03-29 10:01:50',)","(-156,)","(195,)","(-8,)"
"('2022-03-29 10:01:49',)","(-156,)","(196,)","(-9,)"
"('2022-03-29 10:01:49',)","(-156,)","(197,)","(-9,)"
"('2022-03-29 10:01:49',)","(-155,)","(195,)","(-9,)"
"('2022-03-29 10:01:49',)","(-156,)","(196,)","(-9,)"
"('2022-03-29 10:01:49',)","(-155,)","(196,)","(-8,)"
"('2022-03-29 10:01:49',)","(-155,)","(196,)","(-10,)"
"('2022-03-29 10:01:49',)","(-154,)","(195,)","(-7,)"
"('2022-03-29 10:01:49',)","(-156,)","(196,)","(-8,)"
"('2022-03-29 10:01:49',)","(-156,)","(195,)","(-8,)"
"('2022-03-29 10:01:47',)","(-156,)","(196,)","(-8,)"
"('2022-03-29 10:01:47',)","(-155,)","(196,)","(-10,)"
"('2022-03-29 10:01:45',)","(-156,)","(196,)","(-8,)"
"('2022-03-29 10:01:45',)","(-156,)","(196,)","(-8,)"
"('2022-03-29 10:01:45',)","(-155,)","(195,)","(-9,)"
"('2022-03-29 10:01:45',)","(-155,)","(196,)","(-10,)"
"('2022-03-29 10:01:45',)","(-155,)","(197,)","(-8,)"
"('2022-03-29 10:01:45',)","(-155,)","(196,)","(-11,)"
"('2022-03-29 10:01:45',)","(-156,)","(196,)","(-9,)"
"('2022-03-29 10:01:45',)","(-154,)","(195,)","(-8,)"
"('2022-03-29 10:01:44',)","(-155,)","(197,)","(-8,)"
"('2022-03-29 10:01:41',)","(-155,)","(197,)","(-9,)"
TIME,X,Y,Z
"('2022-03-29 14:08:46',)","(52,)","(54,)","(-242,)"
"('2022-03-29 14:08:46',)","(50,)","(53,)","(-242,)"
"('2022-03-29 14:08:45',)","(51,)","(54,)","(-240,)"
"('2022-03-29 14:08:45',)","(51,)","(55,)","(-241,)"
"('2022-03-29 14:08:45',)","(51,)","(54,)","(-240,)"
"('2022-03-29 14:08:45',)","(51,)","(53,)","(-242,)"
"('2022-03-29 14:08:44',)","(51,)","(53,)","(-240,)"
"('2022-03-29 14:08:43',)","(52,)","(51,)","(-241,)"
"('2022-03-29 14:08:43',)","(51,)","(53,)","(-241,)"
"('2022-03-29 14:08:43',)","(51,)","(53,)","(-241,)"
"('2022-03-29 14:08:43',)","(51,)","(54,)","(-242,)"
"('2022-03-29 14:08:42',)","(51,)","(53,)","(-240,)"
"('2022-03-29 14:08:41',)","(51,)","(54,)","(-240,)"
"('2022-03-29 14:08:41',)","(51,)","(53,)","(-241,)"
"('2022-03-29 14:08:40',)","(51,)","(54,)","(-241,)"
"('2022-03-29 14:08:40',)","(52,)","(52,)","(-240,)"
"('2022-03-29 14:08:40',)","(52,)","(52,)","(-242,)"
"('2022-03-29 14:08:40',)","(51,)","(53,)","(-241,)"
"('2022-03-29 14:08:39',)","(52,)","(53,)","(-240,)"
"('2022-03-29 14:08:39',)","(51,)","(54,)","(-241,)"
"('2022-03-29 14:08:38',)","(53,)","(54,)","(-240,)"
"('2022-03-29 14:08:38',)","(52,)","(53,)","(-240,)"
"('2022-03-29 14:08:38',)","(52,)","(53,)","(-240,)"
"('2022-03-29 14:08:37',)","(53,)","(53,)","(-241,)"
"('2022-03-29 14:08:37',)","(52,)","(53,)","(-240,)"
"('2022-03-29 14:08:37',)","(53,)","(53,)","(-241,)"
"('2022-03-29 14:08:37',)","(52,)","(53,)","(-241,)"
"('2022-03-29 14:08:37',)","(52,)","(53,)","(-242,)"
"('2022-03-29 14:08:37',)","(52,)","(53,)","(-242,)"
"('2022-03-29 14:08:37',)","(52,)","(54,)","(-241,)"
"('2022-03-29 14:08:37',)","(52,)","(53,)","(-239,)"
"('2022-03-29 14:08:37',)","(51,)","(55,)","(-240,)"
"('2022-03-29 14:08:35',)","(52,)","(54,)","(-241,)"
"('2022-03-29 14:08:35',)","(51,)","(52,)","(-239,)"
"('2022-03-29 14:08:35',)","(52,)","(53,)","(-240,)"
"('2022-03-29 14:08:33',)","(51,)","(53,)","(-240,)"
"('2022-03-29 14:08:33',)","(52,)","(53,)","(-243,)"
"('2022-03-29 14:08:33',)","(53,)","(53,)","(-238,)"
"('2022-03-29 14:08:33',)","(52,)","(53,)","(-240,)"
"('2022-03-29 14:08:33',)","(52,)","(52,)","(-240,)"
"('2022-03-29 14:08:33',)","(52,)","(53,)","(-239,)"
"('2022-03-29 14:08:33',)","(51,)","(53,)","(-241,)"
"('2022-03-29 14:08:33',)","(52,)","(54,)","(-241,)"
"('2022-03-29 14:08:31',)","(52,)","(53,)","(-240,)"
"('2022-03-29 14:08:31',)","(52,)","(53,)","(-240,)"
"('2022-03-29 14:08:29',)","(51,)","(54,)","(-240,)"
"('2022-03-29 14:08:29',)","(51,)","(54,)","(-240,)"
"('2022-03-29 14:08:27',)","(51,)","(53,)","(-241,)"
"('2022-03-29 14:08:27',)","(53,)","(53,)","(-240,)"
"('2022-03-29 14:08:25',)","(0,)","(0,)","(0,)"
"('2022-03-29 10:01:57',)","(-156,)","(196,)","(-9,)"
"('2022-03-29 10:01:57',)","(-154,)","(195,)","(-9,)"
"('2022-03-29 10:01:57',)","(-156,)","(196,)","(-8,)"
"('2022-03-29 10:01:56',)","(-155,)","(196,)","(-10,)"
"('2022-03-29 10:01:56',)","(-155,)","(195,)","(-10,)"
"('2022-03-29 10:01:56',)","(-156,)","(197,)","(-9,)"
"('2022-03-29 10:01:56',)","(-155,)","(197,)","(-9,)"
"('2022-03-29 10:01:56',)","(-155,)","(195,)","(-8,)"
"('2022-03-29 10:01:53',)","(-155,)","(196,)","(-8,)"
"('2022-03-29 10:01:53',)","(-156,)","(197,)","(-10,)"
"('2022-03-29 10:01:53',)","(-155,)","(195,)","(-9,)"
"('2022-03-29 10:01:53',)","(-156,)","(196,)","(-10,)"
"('2022-03-29 10:01:51',)","(-155,)","(195,)","(-8,)"
"('2022-03-29 10:01:51',)","(-155,)","(196,)","(-10,)"
"('2022-03-29 10:01:50',)","(-156,)","(195,)","(-8,)"
"('2022-03-29 10:01:49',)","(-156,)","(196,)","(-9,)"
"('2022-03-29 10:01:49',)","(-156,)","(197,)","(-9,)"
"('2022-03-29 10:01:49',)","(-155,)","(195,)","(-9,)"
"('2022-03-29 10:01:49',)","(-156,)","(196,)","(-9,)"
"('2022-03-29 10:01:49',)","(-155,)","(196,)","(-8,)"
"('2022-03-29 10:01:49',)","(-155,)","(196,)","(-10,)"
"('2022-03-29 10:01:49',)","(-154,)","(195,)","(-7,)"
"('2022-03-29 10:01:49',)","(-156,)","(196,)","(-8,)"
"('2022-03-29 10:01:49',)","(-156,)","(195,)","(-8,)"
"('2022-03-29 10:01:47',)","(-156,)","(196,)","(-8,)"
"('2022-03-29 10:01:47',)","(-155,)","(196,)","(-10,)"
"('2022-03-29 10:01:45',)","(-156,)","(196,)","(-8,)"
"('2022-03-29 10:01:45',)","(-156,)","(196,)","(-8,)"
"('2022-03-29 10:01:45',)","(-155,)","(195,)","(-9,)"
"('2022-03-29 10:01:45',)","(-155,)","(196,)","(-10,)"
"('2022-03-29 10:01:45',)","(-155,)","(197,)","(-8,)"
"('2022-03-29 10:01:45',)","(-155,)","(196,)","(-11,)"
"('2022-03-29 10:01:45',)","(-156,)","(196,)","(-9,)"
"('2022-03-29 10:01:45',)","(-154,)","(195,)","(-8,)"
"('2022-03-29 10:01:44',)","(-155,)","(197,)","(-8,)"
"('2022-03-29 10:01:41',)","(-155,)","(197,)","(-9,)"
TIME,X,Y,Z
"('2022-03-29 14:09:32',)","(49,)","(56,)","(-242,)"
"('2022-03-29 14:09:32',)","(50,)","(55,)","(-242,)"
"('2022-03-29 14:09:32',)","(49,)","(54,)","(-243,)"
"('2022-03-29 14:09:32',)","(51,)","(55,)","(-243,)"
"('2022-03-29 14:09:30',)","(51,)","(52,)","(-243,)"
"('2022-03-29 14:09:30',)","(51,)","(54,)","(-243,)"
"('2022-03-29 14:09:30',)","(51,)","(54,)","(-244,)"
"('2022-03-29 14:09:30',)","(52,)","(54,)","(-242,)"
"('2022-03-29 14:09:30',)","(51,)","(55,)","(-244,)"
"('2022-03-29 14:09:30',)","(52,)","(54,)","(-243,)"
"('2022-03-29 14:09:30',)","(51,)","(54,)","(-244,)"
"('2022-03-29 14:09:30',)","(52,)","(54,)","(-243,)"
"('2022-03-29 14:09:29',)","(52,)","(55,)","(-243,)"
"('2022-03-29 14:09:29',)","(51,)","(54,)","(-241,)"
"('2022-03-29 14:09:29',)","(52,)","(53,)","(-243,)"
"('2022-03-29 14:09:29',)","(50,)","(54,)","(-243,)"
"('2022-03-29 14:09:29',)","(51,)","(53,)","(-242,)"
"('2022-03-29 14:09:29',)","(53,)","(53,)","(-242,)"
"('2022-03-29 14:09:29',)","(50,)","(54,)","(-243,)"
"('2022-03-29 14:09:29',)","(51,)","(55,)","(-244,)"
"('2022-03-29 14:09:28',)","(51,)","(54,)","(-242,)"
"('2022-03-29 14:09:28',)","(53,)","(54,)","(-244,)"
"('2022-03-29 14:09:28',)","(52,)","(54,)","(-243,)"
"('2022-03-29 14:09:28',)","(52,)","(55,)","(-243,)"
"('2022-03-29 14:09:28',)","(51,)","(55,)","(-243,)"
"('2022-03-29 14:09:28',)","(52,)","(55,)","(-242,)"
"('2022-03-29 14:09:28',)","(52,)","(53,)","(-240,)"
"('2022-03-29 14:09:28',)","(52,)","(53,)","(-241,)"
"('2022-03-29 14:09:26',)","(52,)","(54,)","(-242,)"
"('2022-03-29 14:09:26',)","(52,)","(54,)","(-243,)"
"('2022-03-29 14:09:26',)","(52,)","(54,)","(-242,)"
"('2022-03-29 14:09:26',)","(53,)","(54,)","(-243,)"
"('2022-03-29 14:09:26',)","(52,)","(54,)","(-243,)"
"('2022-03-29 14:09:26',)","(53,)","(53,)","(-243,)"
"('2022-03-29 14:09:26',)","(53,)","(53,)","(-242,)"
"('2022-03-29 14:09:26',)","(53,)","(53,)","(-241,)"
"('2022-03-29 14:09:25',)","(51,)","(54,)","(-243,)"
"('2022-03-29 14:09:25',)","(51,)","(53,)","(-244,)"
"('2022-03-29 14:09:25',)","(51,)","(53,)","(-242,)"
"('2022-03-29 14:09:24',)","(52,)","(54,)","(-242,)"
"('2022-03-29 14:09:24',)","(51,)","(54,)","(-244,)"
"('2022-03-29 14:09:23',)","(52,)","(53,)","(-242,)"
"('2022-03-29 14:09:23',)","(52,)","(54,)","(-242,)"
"('2022-03-29 14:09:23',)","(52,)","(52,)","(-243,)"
"('2022-03-29 14:09:23',)","(52,)","(53,)","(-243,)"
"('2022-03-29 14:09:23',)","(51,)","(53,)","(-244,)"
"('2022-03-29 14:09:23',)","(52,)","(54,)","(-244,)"
"('2022-03-29 14:09:21',)","(50,)","(53,)","(-242,)"
"('2022-03-29 14:09:21',)","(49,)","(53,)","(-242,)"
"('2022-03-29 14:09:21',)","(50,)","(53,)","(-242,)"
"('2022-03-29 14:09:21',)","(49,)","(53,)","(-242,)"
"('2022-03-29 14:09:21',)","(50,)","(52,)","(-243,)"
"('2022-03-29 14:09:21',)","(51,)","(53,)","(-243,)"
"('2022-03-29 14:09:21',)","(51,)","(54,)","(-241,)"
"('2022-03-29 14:09:21',)","(51,)","(53,)","(-243,)"
"('2022-03-29 14:09:20',)","(51,)","(54,)","(-243,)"
"('2022-03-29 14:09:20',)","(52,)","(54,)","(-243,)"
"('2022-03-29 14:09:20',)","(51,)","(54,)","(-243,)"
"('2022-03-29 14:09:20',)","(51,)","(53,)","(-244,)"
"('2022-03-29 14:09:20',)","(50,)","(53,)","(-243,)"
"('2022-03-29 14:09:20',)","(52,)","(54,)","(-241,)"
"('2022-03-29 14:09:20',)","(51,)","(53,)","(-243,)"
"('2022-03-29 14:09:19',)","(52,)","(52,)","(-243,)"
"('2022-03-29 14:09:19',)","(52,)","(53,)","(-242,)"
"('2022-03-29 14:09:19',)","(51,)","(54,)","(-243,)"
"('2022-03-29 14:09:19',)","(52,)","(52,)","(-243,)"
"('2022-03-29 14:09:19',)","(53,)","(54,)","(-244,)"
"('2022-03-29 14:09:19',)","(52,)","(53,)","(-242,)"
"('2022-03-29 14:09:18',)","(52,)","(53,)","(-243,)"
"('2022-03-29 14:09:18',)","(53,)","(53,)","(-244,)"
"('2022-03-29 14:09:18',)","(51,)","(55,)","(-242,)"
"('2022-03-29 14:09:18',)","(51,)","(53,)","(-242,)"
"('2022-03-29 14:09:18',)","(52,)","(54,)","(-242,)"
"('2022-03-29 14:09:18',)","(51,)","(52,)","(-241,)"
"('2022-03-29 14:09:18',)","(52,)","(53,)","(-243,)"
"('2022-03-29 14:09:18',)","(52,)","(51,)","(-241,)"
"('2022-03-29 14:09:18',)","(53,)","(53,)","(-242,)"
"('2022-03-29 14:09:17',)","(52,)","(51,)","(-243,)"
"('2022-03-29 14:09:17',)","(52,)","(52,)","(-244,)"
"('2022-03-29 14:09:17',)","(51,)","(53,)","(-243,)"
"('2022-03-29 14:09:17',)","(51,)","(54,)","(-242,)"
"('2022-03-29 14:09:17',)","(51,)","(53,)","(-242,)"
"('2022-03-29 14:09:17',)","(53,)","(52,)","(-242,)"
"('2022-03-29 14:09:17',)","(51,)","(53,)","(-241,)"
"('2022-03-29 14:09:17',)","(51,)","(53,)","(-242,)"
"('2022-03-29 14:09:17',)","(53,)","(53,)","(-242,)"
"('2022-03-29 14:09:17',)","(52,)","(54,)","(-243,)"
"('2022-03-29 14:09:16',)","(52,)","(54,)","(-243,)"
"('2022-03-29 14:09:16',)","(52,)","(53,)","(-242,)"
"('2022-03-29 14:09:16',)","(52,)","(53,)","(-243,)"
"('2022-03-29 14:09:16',)","(52,)","(52,)","(-241,)"
"('2022-03-29 14:09:16',)","(52,)","(54,)","(-241,)"
"('2022-03-29 14:09:16',)","(53,)","(52,)","(-242,)"
"('2022-03-29 14:09:14',)","(52,)","(54,)","(-243,)"
"('2022-03-29 14:09:14',)","(52,)","(52,)","(-241,)"
"('2022-03-29 14:09:14',)","(50,)","(53,)","(-242,)"
"('2022-03-29 14:09:14',)","(51,)","(52,)","(-242,)"
"('2022-03-29 14:09:14',)","(51,)","(54,)","(-242,)"
"('2022-03-29 14:09:14',)","(52,)","(53,)","(-241,)"
"('2022-03-29 14:09:14',)","(52,)","(53,)","(-241,)"
"('2022-03-29 14:09:14',)","(51,)","(54,)","(-243,)"
"('2022-03-29 14:09:14',)","(51,)","(53,)","(-242,)"
"('2022-03-29 14:09:13',)","(51,)","(52,)","(-242,)"
"('2022-03-29 14:09:13',)","(52,)","(55,)","(-243,)"
"('2022-03-29 14:09:13',)","(52,)","(53,)","(-242,)"
"('2022-03-29 14:09:13',)","(53,)","(52,)","(-242,)"
"('2022-03-29 14:09:13',)","(52,)","(52,)","(-242,)"
"('2022-03-29 14:09:13',)","(52,)","(52,)","(-242,)"
"('2022-03-29 14:09:13',)","(51,)","(52,)","(-241,)"
"('2022-03-29 14:09:13',)","(52,)","(54,)","(-241,)"
"('2022-03-29 14:09:13',)","(52,)","(54,)","(-241,)"
"('2022-03-29 14:09:13',)","(52,)","(54,)","(-243,)"
"('2022-03-29 14:09:12',)","(51,)","(54,)","(-243,)"
"('2022-03-29 14:09:12',)","(51,)","(53,)","(-244,)"
"('2022-03-29 14:09:12',)","(53,)","(52,)","(-242,)"
"('2022-03-29 14:09:12',)","(51,)","(52,)","(-242,)"
"('2022-03-29 14:09:12',)","(52,)","(53,)","(-241,)"
"('2022-03-29 14:09:12',)","(51,)","(53,)","(-241,)"
"('2022-03-29 14:09:12',)","(50,)","(52,)","(-244,)"
"('2022-03-29 14:09:12',)","(52,)","(54,)","(-243,)"
"('2022-03-29 14:09:12',)","(52,)","(52,)","(-242,)"
"('2022-03-29 14:09:12',)","(52,)","(52,)","(-242,)"
"('2022-03-29 14:09:11',)","(53,)","(53,)","(-241,)"
"('2022-03-29 14:09:11',)","(52,)","(53,)","(-243,)"
"('2022-03-29 14:09:10',)","(52,)","(53,)","(-242,)"
"('2022-03-29 14:09:10',)","(51,)","(51,)","(-241,)"
"('2022-03-29 14:09:10',)","(50,)","(54,)","(-242,)"
"('2022-03-29 14:09:10',)","(49,)","(53,)","(-241,)"
"('2022-03-29 14:09:10',)","(51,)","(52,)","(-243,)"
"('2022-03-29 14:09:10',)","(51,)","(54,)","(-242,)"
"('2022-03-29 14:09:10',)","(51,)","(54,)","(-243,)"
"('2022-03-29 14:09:10',)","(51,)","(53,)","(-242,)"
"('2022-03-29 14:09:10',)","(51,)","(53,)","(-243,)"
"('2022-03-29 14:09:09',)","(52,)","(53,)","(-242,)"
"('2022-03-29 14:09:09',)","(51,)","(52,)","(-241,)"
"('2022-03-29 14:09:09',)","(51,)","(54,)","(-243,)"
"('2022-03-29 14:09:09',)","(52,)","(53,)","(-242,)"
"('2022-03-29 14:09:08',)","(51,)","(54,)","(-242,)"
"('2022-03-29 14:09:08',)","(51,)","(53,)","(-243,)"
"('2022-03-29 14:09:07',)","(51,)","(53,)","(-242,)"
