TIME,X2,Y2,Z2
TIME,X2,Y2,Z2
TIME,X2,Y2,Z2
TIME,X2,Y2,Z2
TIME,X2,Y2,Z2
"('2022-03-29 17:26:42',)","(-39,)","(39,)","(-203,)"
"('2022-03-29 17:26:42',)","(-34,)","(39,)","(-204,)"
"('2022-03-29 17:26:41',)","(-43,)","(30,)","(-196,)"
"('2022-03-29 17:26:41',)","(-41,)","(33,)","(-197,)"
"('2022-03-29 17:26:41',)","(-38,)","(36,)","(-198,)"
"('2022-03-29 17:26:40',)","(-40,)","(31,)","(-202,)"
"('2022-03-29 17:26:40',)","(-41,)","(30,)","(-195,)"
"('2022-03-29 17:26:39',)","(-42,)","(37,)","(-202,)"
"('2022-03-29 17:26:39',)","(-42,)","(39,)","(-202,)"
"('2022-03-29 17:26:39',)","(-40,)","(39,)","(-200,)"
"('2022-03-29 17:26:39',)","(-40,)","(39,)","(-200,)"
"('2022-03-29 17:26:38',)","(-34,)","(32,)","(-200,)"
"('2022-03-29 17:26:38',)","(-36,)","(30,)","(-206,)"
"('2022-03-29 17:26:38',)","(-37,)","(36,)","(-203,)"
"('2022-03-29 17:26:38',)","(-41,)","(41,)","(-204,)"
"('2022-03-29 17:26:38',)","(-40,)","(43,)","(-202,)"
"('2022-03-29 17:26:38',)","(-38,)","(39,)","(-198,)"
"('2022-03-29 17:26:38',)","(-39,)","(36,)","(-198,)"
"('2022-03-29 17:26:38',)","(-38,)","(33,)","(-199,)"
"('2022-03-29 17:26:38',)","(-41,)","(36,)","(-201,)"
"('2022-03-29 17:26:38',)","(-41,)","(35,)","(-201,)"
"('2022-03-29 17:26:37',)","(-35,)","(39,)","(-205,)"
"('2022-03-29 17:26:37',)","(-37,)","(42,)","(-203,)"
"('2022-03-29 17:26:37',)","(-33,)","(40,)","(-200,)"
"('2022-03-29 17:26:37',)","(-34,)","(39,)","(-198,)"
"('2022-03-29 17:26:37',)","(-31,)","(34,)","(-200,)"
"('2022-03-29 17:26:36',)","(-42,)","(39,)","(-200,)"
"('2022-03-29 17:26:36',)","(-47,)","(40,)","(-201,)"
"('2022-03-29 17:26:36',)","(-46,)","(41,)","(-203,)"
"('2022-03-29 17:26:36',)","(-42,)","(41,)","(-200,)"
"('2022-03-29 17:26:36',)","(-38,)","(38,)","(-204,)"
"('2022-03-29 17:26:36',)","(-38,)","(34,)","(-200,)"
"('2022-03-29 17:26:36',)","(-40,)","(32,)","(-200,)"
"('2022-03-29 17:26:36',)","(-42,)","(37,)","(-200,)"
"('2022-03-29 17:26:36',)","(-44,)","(41,)","(-198,)"
"('2022-03-29 17:26:35',)","(-32,)","(35,)","(-205,)"
"('2022-03-29 17:26:35',)","(-32,)","(37,)","(-199,)"
