"2022-03-29 17:21:41",0,0,0,-32,33,-189
"2022-03-29 17:21:41",78,25,-226,-43,39,-192
"2022-03-29 17:21:43",73,19,-237,-48,55,-213
"2022-03-29 17:21:43",70,20,-246,-41,44,-210
"2022-03-29 17:21:44",83,13,-238,-32,25,-193
"2022-03-29 17:21:45",86,11,-237,-31,23,-200
"2022-03-29 17:21:45",86,11,-230,-37,28,-208
"2022-03-29 17:21:45",91,13,-230,-47,36,-205
"2022-03-29 17:21:45",91,17,-242,-54,43,-195
"2022-03-29 17:21:45",89,18,-240,-49,40,-197
"2022-03-29 17:21:45",83,14,-235,-38,32,-207
"2022-03-29 17:21:45",87,15,-231,-34,29,-209
"2022-03-29 17:21:47",91,16,-234,-48,35,-204
"2022-03-29 17:21:47",94,17,-240,-37,28,-199
"2022-03-29 17:21:47",90,13,-236,-32,25,-200
"2022-03-29 17:21:47",87,12,-231,-36,29,-204
"2022-03-29 17:21:48",86,15,-227,-44,34,-203
"2022-03-29 17:21:48",90,19,-234,-48,38,-196
"2022-03-29 17:21:51",80,19,-237,-36,28,-196
"2022-03-29 17:21:53",85,21,-238,-42,28,-204
"2022-03-29 17:21:53",87,21,-245,-45,32,-202
"2022-03-29 17:21:54",88,20,-244,-40,33,-203
"2022-03-29 17:21:54",85,19,-240,-38,34,-209
"2022-03-29 17:21:54",82,18,-236,-33,30,-210
"2022-03-29 17:21:54",81,16,-237,-33,27,-206
"2022-03-29 17:21:54",81,15,-238,-34,25,-196
"2022-03-29 17:21:54",80,15,-234,-39,29,-194
"2022-03-29 17:21:54",84,18,-226,-45,33,-197
"2022-03-29 17:21:54",84,16,-225,-46,38,-199
"2022-03-29 17:21:54",87,15,-231,-44,37,-198
"2022-03-29 17:21:54",87,16,-241,-41,34,-198
"2022-03-29 17:21:54",86,17,-244,-37,30,-203
"2022-03-29 17:21:55",90,18,-240,-38,29,-210
"2022-03-29 17:21:55",87,16,-241,-42,31,-214
"2022-03-29 17:21:55",87,16,-241,-45,34,-208
"2022-03-29 17:21:55",88,16,-238,-46,37,-199
"2022-03-29 17:21:55",90,20,-239,-42,38,-194
"2022-03-29 17:21:55",88,20,-230,-41,37,-195
"2022-03-29 17:21:55",83,19,-221,-36,34,-197
"2022-03-29 17:23:40",78,23,-242,-25,33,-200
"2022-03-29 17:23:40",80,21,-237,-29,30,-199
"2022-03-29 17:23:40",80,21,-232,-35,33,-204
"2022-03-29 17:23:40",80,24,-234,-35,33,-204
"2022-03-29 17:23:42",81,18,-231,-35,35,-205
"2022-03-29 17:23:42",79,9,-236,-39,35,-204
"2022-03-29 17:23:42",85,12,-241,-39,35,-198
"2022-03-29 17:23:43",82,17,-241,-37,37,-198
"2022-03-29 17:23:43",80,23,-230,-32,37,-206
"2022-03-29 17:23:43",76,20,-235,-30,32,-205
"2022-03-29 17:23:45",81,23,-240,-38,38,-199
"2022-03-29 17:23:45",81,21,-243,-36,35,-200
