TIME,X,Y,Z,X2,Y2,Z2
"('2022-03-22 12:10:07',)","(-31,)","(109,)","(233,)","('-96',)","('-31',)","(233,)"
"('2022-03-22 12:10:07',)","(-32,)","(110,)","(233,)","('-98',)","('-31',)","(233,)"
"('2022-03-22 12:10:07',)","(-32,)","(110,)","(231,)","('-97',)","('-31',)","(231,)"
"('2022-03-22 12:10:07',)","(-31,)","(110,)","(233,)","('-97',)","('-32',)","(233,)"
"('2022-03-22 12:10:07',)","(-31,)","(109,)","(231,)","('-97',)","('-31',)","(231,)"
"('2022-03-22 12:10:07',)","(-30,)","(110,)","(233,)","('-97',)","('-31',)","(233,)"
"('2022-03-22 12:10:07',)","(-30,)","(113,)","(234,)","('-97',)","('-32',)","(234,)"
"('2022-03-22 12:10:06',)","(-32,)","(108,)","(233,)","('-96',)","('-32',)","(233,)"
"('2022-03-22 12:10:06',)","(-31,)","(111,)","(234,)","('-96',)","('-33',)","(234,)"
"('2022-03-22 12:10:06',)","(-27,)","(110,)","(233,)","('-97',)","('-31',)","(233,)"
"('2022-03-22 12:10:06',)","(-30,)","(112,)","(237,)","('-97',)","('-32',)","(237,)"
"('2022-03-22 12:10:06',)","(-34,)","(110,)","(229,)","('-96',)","('-33',)","(229,)"
"('2022-03-22 12:10:06',)","(-35,)","(110,)","(226,)","('-97',)","('-32',)","(226,)"
"('2022-03-22 12:10:06',)","(-34,)","(111,)","(226,)","('-96',)","('-32',)","(226,)"
"('2022-03-22 12:10:06',)","(-35,)","(115,)","(227,)","('-96',)","('-33',)","(227,)"
"('2022-03-22 12:10:06',)","(-32,)","(111,)","(226,)","('-97',)","('-32',)","(226,)"
"('2022-03-22 12:10:06',)","(-31,)","(113,)","(229,)","('-96',)","('-33',)","(229,)"
"('2022-03-22 12:10:06',)","(-29,)","(115,)","(228,)","('-97',)","('-33',)","(228,)"
"('2022-03-22 12:10:06',)","(-28,)","(118,)","(230,)","('-98',)","('-32',)","(230,)"
"('2022-03-22 12:10:06',)","(-28,)","(116,)","(231,)","('-97',)","('-32',)","(231,)"
"('2022-03-22 12:10:06',)","(-29,)","(114,)","(231,)","('-97',)","('-32',)","(231,)"
"('2022-03-22 12:10:06',)","(-30,)","(117,)","(231,)","('-97',)","('-31',)","(231,)"
"('2022-03-22 12:10:06',)","(-32,)","(115,)","(228,)","('-97',)","('-31',)","(228,)"
"('2022-03-22 12:10:05',)","(-34,)","(114,)","(228,)","('-97',)","('-32',)","(228,)"
"('2022-03-22 12:10:05',)","(-42,)","(106,)","(227,)","('-98',)","('-32',)","(227,)"
"('2022-03-22 12:10:05',)","(-31,)","(107,)","(234,)","('-97',)","('-31',)","(234,)"
"('2022-03-22 12:10:05',)","(-32,)","(103,)","(230,)","('-96',)","('-31',)","(230,)"
"('2022-03-22 12:10:05',)","(-32,)","(108,)","(233,)","('-98',)","('-31',)","(233,)"
"('2022-03-22 12:10:04',)","(-30,)","(108,)","(233,)","('-97',)","('-32',)","(233,)"
"('2022-03-22 12:10:04',)","(-51,)","(128,)","(213,)","('-97',)","('-33',)","(213,)"
"('2022-03-22 12:10:04',)","(-24,)","(120,)","(232,)","('-96',)","('-31',)","(232,)"
"('2022-03-22 12:10:04',)","(-25,)","(120,)","(233,)","('-98',)","('-32',)","(233,)"
"('2022-03-22 12:10:03',)","(-26,)","(123,)","(232,)","('-97',)","('-31',)","(232,)"
"('2022-03-22 12:10:03',)","(-37,)","(113,)","(224,)","('-98',)","('-34',)","(224,)"
"('2022-03-22 12:10:03',)","(-33,)","(114,)","(226,)","('-97',)","('-33',)","(226,)"
"('2022-03-22 12:10:03',)","(-32,)","(104,)","(235,)","('-96',)","('-33',)","(235,)"
"('2022-03-22 12:10:03',)","(-34,)","(105,)","(236,)","('-97',)","('-33',)","(236,)"
"('2022-03-22 12:10:02',)","(-41,)","(95,)","(235,)","('-97',)","('-32',)","(235,)"
"('2022-03-22 12:10:02',)","(-36,)","(102,)","(230,)","('-97',)","('-33',)","(230,)"
"('2022-03-22 12:10:02',)","(-38,)","(104,)","(225,)","('-96',)","('-33',)","(225,)"
"('2022-03-22 12:10:02',)","(-26,)","(122,)","(234,)","('-98',)","('-32',)","(234,)"
"('2022-03-22 12:10:01',)","(-52,)","(85,)","(246,)","('-93',)","('-29',)","(246,)"
"('2022-03-22 12:10:01',)","(-63,)","(57,)","(245,)","('-97',)","('-33',)","(245,)"
"('2022-03-22 12:10:01',)","(-28,)","(130,)","(215,)","('-100',)","('-33',)","(215,)"
"('2022-03-22 12:10:01',)","(-48,)","(146,)","(219,)","('-96',)","('-31',)","(219,)"
"('2022-03-22 12:10:01',)","(-35,)","(89,)","(236,)","('-97',)","('-32',)","(236,)"
"('2022-03-22 12:10:00',)","(-34,)","(116,)","(225,)","('-97',)","('-32',)","(225,)"
"('2022-03-22 12:10:00',)","(-33,)","(113,)","(226,)","('-98',)","('-32',)","(226,)"
"('2022-03-22 12:10:00',)","(-33,)","(115,)","(229,)","('-97',)","('-33',)","(229,)"
"('2022-03-22 12:10:00',)","(-32,)","(56,)","(289,)","('-97',)","('-33',)","(289,)"
"('2022-03-22 12:10:00',)","(-49,)","(31,)","(235,)","('-110',)","('-33',)","(235,)"
"('2022-03-22 12:09:59',)","(-35,)","(112,)","(226,)","('-97',)","('-33',)","(226,)"
"('2022-03-22 12:09:59',)","(-34,)","(111,)","(225,)","('-97',)","('-33',)","(225,)"
"('2022-03-22 12:09:59',)","(-34,)","(115,)","(225,)","('-97',)","('-32',)","(225,)"
"('2022-03-22 12:09:59',)","(-34,)","(115,)","(224,)","('-97',)","('-32',)","(224,)"
"('2022-03-22 12:09:59',)","(-33,)","(114,)","(227,)","('-97',)","('-32',)","(227,)"
"('2022-03-22 12:09:58',)","(-34,)","(114,)","(223,)","('-98',)","('-31',)","(223,)"
"('2022-03-22 12:09:58',)","(-34,)","(114,)","(225,)","('-96',)","('-33',)","(225,)"
"('2022-03-22 12:09:58',)","(-34,)","(115,)","(225,)","('-97',)","('-32',)","(225,)"
"('2022-03-22 12:09:58',)","(-33,)","(115,)","(225,)","('-97',)","('-33',)","(225,)"
"('2022-03-22 12:09:58',)","(-35,)","(107,)","(227,)","('-98',)","('-32',)","(227,)"
"('2022-03-22 12:09:58',)","(-34,)","(108,)","(228,)","('-97',)","('-33',)","(228,)"
"('2022-03-22 12:09:57',)","(-38,)","(105,)","(228,)","('-97',)","('-32',)","(228,)"
"('2022-03-22 12:09:57',)","(-38,)","(106,)","(226,)","('-97',)","('-32',)","(226,)"
"('2022-03-22 12:09:57',)","(-37,)","(107,)","(227,)","('-97',)","('-32',)","(227,)"
"('2022-03-22 12:09:57',)","(-38,)","(108,)","(225,)","('-97',)","('-33',)","(225,)"
"('2022-03-22 12:09:57',)","(-38,)","(108,)","(225,)","('-96',)","('-32',)","(225,)"
"('2022-03-22 12:09:57',)","(-36,)","(109,)","(225,)","('-96',)","('-32',)","(225,)"
"('2022-03-22 12:09:57',)","(-36,)","(110,)","(227,)","('-97',)","('-33',)","(227,)"
"('2022-03-22 12:09:57',)","(-37,)","(111,)","(224,)","('-97',)","('-32',)","(224,)"
"('2022-03-22 12:09:57',)","(-36,)","(113,)","(226,)","('-97',)","('-33',)","(226,)"
"('2022-03-22 12:09:57',)","(-36,)","(112,)","(226,)","('-98',)","('-32',)","(226,)"
"('2022-03-22 12:09:57',)","(-37,)","(115,)","(227,)","('-97',)","('-32',)","(227,)"
"('2022-03-22 12:09:57',)","(-34,)","(113,)","(226,)","('-97',)","('-32',)","(226,)"
"('2022-03-22 12:09:57',)","(-11,)","(145,)","(211,)","('-98',)","('-32',)","(211,)"
"('2022-03-22 12:09:57',)","(-35,)","(117,)","(225,)","('-98',)","('-32',)","(225,)"
"('2022-03-22 12:09:57',)","(-33,)","(116,)","(225,)","('-97',)","('-33',)","(225,)"
"('2022-03-22 12:09:57',)","(-34,)","(116,)","(225,)","('-97',)","('-32',)","(225,)"
TIME,X,Y,Z,X2,Y2,Z2
"('2022-03-27 15:28:42',)","(145,)","(-160,)","(-95,)","('104',)","('-58',)","(-95,)"
"('2022-03-27 15:28:42',)","(144,)","(-160,)","(-97,)","('92',)","('-39',)","(-97,)"
"('2022-03-27 15:28:42',)","(144,)","(-160,)","(-95,)","('97',)","('-12',)","(-95,)"
"('2022-03-27 15:28:42',)","(145,)","(-159,)","(-95,)","('111',)","('-20',)","(-95,)"
"('2022-03-27 15:28:42',)","(145,)","(-160,)","(-97,)","('128',)","('-73',)","(-97,)"
"('2022-03-27 15:28:40',)","(5,)","(-41,)","(40,)","('190',)","('-278',)","(40,)"
"('2022-03-27 15:28:40',)","(273,)","(10,)","(-121,)","('170',)","('-202',)","(-121,)"
"('2022-03-27 15:28:40',)","(433,)","(15,)","(-186,)","('194',)","('-128',)","(-186,)"
"('2022-03-27 15:28:40',)","(390,)","(58,)","(-134,)","('255',)","('-147',)","(-134,)"
"('2022-03-27 15:28:40',)","(288,)","(49,)","(-130,)","('302',)","('-145',)","(-130,)"
"('2022-03-27 15:28:40',)","(132,)","(-118,)","(-90,)","('284',)","('-151',)","(-90,)"
"('2022-03-27 15:28:40',)","(39,)","(-309,)","(-83,)","('285',)","('-175',)","(-83,)"
"('2022-03-27 15:28:40',)","(147,)","(-277,)","(-115,)","('255',)","('-149',)","(-115,)"
"('2022-03-27 15:28:40',)","(302,)","(-12,)","(-104,)","('219',)","('-133',)","(-104,)"
"('2022-03-27 15:28:40',)","(307,)","(102,)","(-85,)","('202',)","('-23',)","(-85,)"
"('2022-03-27 15:28:40',)","(162,)","(-56,)","(-37,)","('176',)","('-63',)","(-37,)"
"('2022-03-27 15:28:40',)","(56,)","(-207,)","(-56,)","('262',)","('-408',)","(-56,)"
"('2022-03-27 15:28:40',)","(90,)","(-94,)","(-101,)","('313',)","('-512',)","(-101,)"
"('2022-03-27 15:28:40',)","(186,)","(36,)","(-236,)","('-127',)","('234',)","(-236,)"
"('2022-03-27 15:28:40',)","(304,)","(-49,)","(48,)","('-198',)","('39',)","(48,)"
